eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,62566,,,,1.0684016299515213,292.1,824,75200,1483,139.77704580988984,140.4910089078728,2411,25,137.72,58,1448,0.0003,292.13603833999997,218.44128,20,99.29862,4551.478
,,,,,63683,,,,0.029484016655040173,317.4,847,77400,1529,31.965047245249202,32.85662513554891,2482,25,145.4,59,1452,0.0003,317.42602827999997,237.21503,21,101.13202,4199.41
,,,,,64580,,,,0.17335230057810455,332.7,866,79200,1566,35.938547710444645,36.001270790930754,2540,25,148.49,60,1456,0.0003,332.66823387999995,228.79443,21,100.78165,4259.791
,,,,,65303,,,,0.5143776931711278,340.1,883,80800,1600,63.61529325625399,63.61529325625399,2592,25,149.47,61,1460,0.0003,340.08829962999994,209.08963,22,120.69902,5184.9873
,,,,,65797,,,,0.4795992648622386,336.5,892,81600,1617,236.46481090799497,236.46481090799497,2619,25,147.11,61,1464,0.0003,336.45747509,264.9789,22,95.46038,4285.39
,,,,,66240,,,,21.209974941885086,343.9,903,82600,1639,53.330776001860606,53.330776001860606,2652,24,149.47,61,1468,0.0003,343.86063822999995,252.54004,22,84.96637,4224.6143
,,,,,66837,,,,4.894823548475425,345.7,915,83800,1665,80.09733775987718,80.09733775987718,2692,24,149.07,62,1472,0.0003,345.66812749,272.3258,22,104.523964,4684.8276
,,,,,67637,,,,0.5977400771738034,349.4,933,85400,1700,64.37790770211247,64.39422373998075,2745,24,148.3,63,1476,0.0003,349.38319582,271.8813,23,142.3881,5727.6445
,,,,,68536,,,,0.25443792125237624,364.1,952,87200,1739,66.0100302777128,66.83752690362704,2805,24,151.92,63,1480,0.0003,364.06412856000003,281.05832,23,129.9671,5800.5493
,,,,,69380,,,,0.36399673080032274,376.7,969,88800,1775,54.757591477717575,54.992663897311786,2860,24,154.3,64,1484,0.0003,376.67544125,265.1013,24,124.04612,5746.1343
278.06494,305.9,823.1295148181817,240.77548898105107,42.69200890008192,70001,46.917847,3,248.36363636363637,,,,,,,,,,,,,,,,,,
,,,,,70121,,,,2.317354293526197,383.4,986,90400,1811,51.72137039006472,51.72137039006472,2917,24,155.59,65,1488,0.0003,383.4355686699999,285.82874,24,117.101326,5916.8877
,,,,,71056,,,,0.14662279079148446,398.1,1006,92200,1852,80.58878486353234,80.58878486353234,2978,23,158.45,66,1492,0.0003,398.11208112,270.313,24,136.3345,6359.681
