eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,229576,,,,,,345.7703,822.83443397,11.112955021318534,9353,218.68,409200,104,14238,211,822.8,261.97714279315653,261.5558393927111,2172,0.0003,16,4453,256.58157,5712.2637
741.4,1,116.27272727272727,230001,376.7412,274.95074700000004,278.10006035149587,123.59305667739328,279.62497,,,,,,,,,,,,,,,,,,
,,,230927,,,,,,506.93707,853.7293649699999,0.3918609391414229,9418,224.99,412000,104,14336,212,853.7,88.38238481496637,84.53131374516637,2176,0.0003,16,4481,264.0966,5501.2495
,,,232227,,,,,,413.03226,874.29939462,0.0020134602154616077,9477,229.76,414600,105,14427,214,874.3,245.31053148638915,245.31053148638915,2180,0.0003,16,4511,242.77959,5284.3506
,,,233296,,,,,,505.4716,870.0349863399999,1.1956937168094428,9520,229.83,416600,106,14497,215,870.0,145.9062580277373,142.42114546922636,2184,0.0003,16,4536,258.92038,5605.3877
,,,233914,,,,,,433.14685,863.5668636599999,3.030304149047127,9551,229.06,418000,106,14546,215,863.6,260.3970023713923,260.3970023713923,2188,0.0003,16,4553,264.72687,5457.585
,,,235477,,,,,,408.4043,832.81164825,0.00032389302359995154,9620,225.01,421000,107,14650,217,832.8,176.67080993701475,174.03649505210677,2192,0.0003,16,4585,242.66537,5305.425
,,,236529,,,,,,452.11725,835.6504994799997,0.048077362025632335,9672,226.13,423200,107,14725,218,835.7,256.2338280213456,256.2338280213456,2196,0.0003,16,4608,264.6272,5478.976
,,,238013,,,,,,469.95865,878.7555281799998,0.0012201721810880502,9742,235.4,426200,108,14828,219,878.8,211.08739828446073,211.08739828446073,2200,0.0003,16,4639,222.5273,4672.1504
,,,239384,,,,,,459.38242,849.1272528000002,0.36754775823645003,9802,232.4,428800,108,14918,220,849.1,132.46532538378852,129.49761384073415,2204,0.0003,16,4665,249.16393,5337.352
733.3,3,280.45454545454544,240001,389.72266,958.9972093636362,201.15833394323343,164.82130588766802,205.11949,,,,,,,,,,,,,,,,,,
,,,240127,,,,,,474.4855,833.64921473,7.418326877732274,9839,229.94,430400,109,14975,220,833.6,171.05831488871343,164.74561135213642,2208,0.0003,16,4681,218.53734,4886.226
,,,241106,,,,,,334.17642,859.4694461400001,0.005418643261722125,9886,235.37,432400,109,15044,221,859.5,284.0830993648833,284.0830993648833,2212,0.0003,16,4702,262.55154,5779.93
,,,242262,,,,,,448.57648,818.8229571499999,0.2556660407549206,9937,231.52,434600,110,15119,222,818.8,93.01189374534933,92.349240951286,2216,0.0003,16,4724,274.99078,6100.07
,,,244500,,,,,,474.52313,889.0971279800002,1.4462969451461992e-05,10044,245.9,439200,110,15276,224,889.1,61.026541996384424,60.62476895843885,2220,0.0003,16,4771,255.70406,5648.052
,,,245586,,,,,,442.5373,908.8294332499999,0.02487321931340953,10091,250.99,441200,111,15344,225,908.8,256.1818918011699,256.1818918011699,2224,0.0003,16,4791,242.67015,5321.9644
,,,246817,,,,,,514.0075,924.4701743000002,0.11500245598201528,10151,254.05,443800,111,15433,226,924.5,143.16002074800616,143.16002074800616,2228,0.0003,15,4818,225.45468,5265.841
,,,247381,,,,,,357.3186,922.2640030300001,0.7700369773789032,10175,253.32,444800,112,15467,226,922.3,285.03048362234586,285.03048362234586,2232,0.0003,15,4828,235.68092,5254.344
,,,248638,,,,,,441.40063,966.0698041199998,0.009399857764332388,10235,263.18,447400,112,15556,227,966.1,214.10832972186088,214.10832972186088,2236,0.0003,15,4854,232.92596,5101.7324
,,,249299,,,,,,305.30502,951.8939599700002,0.14059214767034459,10263,260.56,448600,113,15597,228,951.9,262.35455139082256,262.35455139082256,2240,0.0003,15,4867,222.12177,4901.6245
,,,249914,,,,,,443.05292,956.1102810300002,2.611431494390445,10296,261.98,450000,113,15645,228,956.1,275.2546129765395,275.2546129765395,2244,0.0003,15,4881,214.7314,4854.719
793.5,4,385.45454545454544,250001,438.34073,1674.6349274545457,160.0100304912023,213.8580257739227,166.07896,,,,,,,,,,,,,,,,,,
,,,250948,,,,,,496.36954,991.4202256899999,0.612015918389431,10341,269.56,452000,114,15718,229,991.4,116.2486421351636,115.43434012693646,2248,0.0003,15,4902,223.37039,5015.031
