eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
,,,,,,352000,,,0.9987481097788394,1000.0,16,654200,352,0.0003,0.9848638909811698,8554,284,518,12.537951,146.9,2.6145011712107136e-12,21652,146.90469733999998,11376,0.391007,0.001227534
,,,,,,356000,,,1.028062439517305,1000.0,16,662200,356,0.0003,1.020142174810877,8658,287,524,12.575988,147.0,2.6716053264837406e-12,21918,146.98218503,11527,0.30683595,0.00083970005
,,,,,,360000,,,1.2575756288886537,1000.0,16,670200,360,0.0003,1.2575756288886537,8763,291,530,12.577388,147.0,2.644581266788858e-12,22184,147.02980387,11678,0.26848504,0.0009906709
22,12.434469,1.1638730468885872,145.65591545454546,1.5783799,33.28277883699768,360001,1000.0,148.7,,,,,,,,,,,,,,,,,,
,,,,,,364000,,,1.1292765630291675,1000.0,16,678200,364,0.0003,1.1261114621400647,8868,294,535,12.677334,147.1,2.7195309449764832e-12,22474,147.12126807,11830,0.32716277,0.00087040546
,,,,,,368000,,,1.646086068969754,1000.0,16,686200,368,0.0003,1.646086068969754,8973,298,541,12.669308,147.0,2.5346215832934248e-12,22740,146.95266685,11981,0.4102102,0.0012264352
22,12.428374,1.0416717286633548,147.32854672727274,1.3541996,33.79952058136666,370001,1000.0,148.4,,,,,,,,,,,,,,,,,,
,,,,,,372000,,,1.052545016846617,1000.0,16,694200,372,0.0003,1.0520213958231888,9077,301,547,12.513588,147.0,2.5510994509305915e-12,23030,147.02429799,12133,0.3001528,0.00087747216
,,,,,,376000,,,1.1237115328876244,1000.0,16,702200,376,0.0003,1.1151142270940935,9182,304,553,12.41797,147.1,2.7206850677137596e-12,23296,147.0578929,12284,0.30970183,0.0009758587
,,,,,,380000,,,1.0383904833941457,1000.0,16,710200,380,0.0003,1.0361627765352577,9287,308,559,12.60757,147.0,2.725572537011611e-12,23562,147.04248644,12435,0.22509849,0.00062320416
22,12.502755,1.1285226947127496,146.43860818181818,1.5159413,33.02654893733737,380001,1000.0,148.0,,,,,,,,,,,,,,,,,,
,,,,,,384000,,,1.0913553388014972,1000.0,16,718200,384,0.0003,1.0913553388014972,9392,311,565,12.402137,147.0,2.6187317681302718e-12,23852,146.96161748999998,12586,0.2936584,0.0008445576
,,,,,,388000,,,1.0456841500318306,1000.0,16,726200,388,0.0003,1.0442039260127318,9497,315,571,12.557432,147.0,2.711674838837324e-12,24118,146.95100148,12737,0.36551785,0.0011603099
22,12.466449,0.8412667930435166,149.13071218181815,1.2288651,33.210996895139715,390001,1000.0,148.1,,,,,,,,,,,,,,,,,,
,,,,,,392000,,,1.6586878068616313,1000.0,16,734200,392,0.0003,1.6581998036922265,9601,318,577,12.735457,146.9,2.6462590689143268e-12,24407,146.89137123,12888,0.27083284,0.0008071356
,,,,,,396000,,,1.0526077915352843,1000.0,16,742200,396,0.0003,1.0513570414774343,9706,321,583,12.464453,146.8,2.596315382683236e-12,24673,146.84937099,13039,0.33871278,0.0010785956
,,,,,,400000,,,1.115340488106442,1000.0,16,750200,400,0.0003,1.1149492405985097,9811,325,589,12.585283,146.8,2.6263879646271867e-12,24939,146.79702079,13190,0.40164727,0.001080167
22,12.629389,1.1046773181497658,148.4203630909091,1.523729,33.50834022321214,400001,1000.0,148.1,,,,,,,,,,,,,,,,,,
