eval_time_elapsed,eval mean 100 episode reward,eval_discount_q,eval_qs,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,total timesteps,fps,ep_rewmean,mean 100 episode reward,eplenmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,discount_q,episodes,env_time,act_time,qs_mean,n_updates,train_time,qfs_loss,q_grad_norm
1,155.9,104.50581393674223,-1.4063522,80.9090909090909,66.833015,156.41753018181817,-66.83300745162934,1,,,,,,,,,,,,,,,,,,
,,,,,,,,11206,168,17.11962849,17.1,21.72,-5.1510149273485055,0.0003,66,5.1987685577841685,50,6.132476409309634,512,9,0,0.596127,0,0,,
,,,,,,,,11297,169,17.46728655,17.5,22.04,-16.08892866416349,0.0003,66,16.08892866416349,50,17.70259967369959,516,9,0,0.2710928,0,0,,
,,,,,,,,11377,168,17.65317285,17.7,22.2,-11.300479346534754,0.0003,67,11.300479346534754,51,12.137561178838867,520,9,0,0.35724273,0,0,,
,,,,,,,,11486,167,18.1156176,18.1,22.63,-10.143088834386356,0.0003,68,10.468281323239895,52,11.723082845037691,524,9,0,0.52238697,0,0,,
,,,,,,,,11571,166,17.78839666,17.8,22.34,-5.051793823715057,0.0003,69,5.051793823715057,53,5.620814391637597,528,9,0,0.33639637,0,0,,
,,,,,,,,11695,166,17.793567770000003,17.8,22.73,-11.583711197851565,0.0003,70,11.602960661532295,54,10.45041673677907,532,10,0,0.53381604,0,0,,
,,,,,,,,11775,164,17.66129719,17.7,22.61,-6.400421560554081,0.0003,71,6.400421560554081,55,7.862012948001777,536,10,0,0.51215243,0,0,,
,,,,,,,,11861,163,17.402844760000004,17.4,22.35,-5.865171421414639,0.0003,72,5.865171421414639,56,5.837500872252965,540,10,0,0.32403308,0,0,,
,,,,,,,,11923,162,17.19801939,17.2,22.1,-3.7813490310157003,0.0003,73,3.7813490310157003,57,4.889288918496924,544,10,0,0.33244273,0,0,,
,,,,,,,,12004,161,16.964697479999998,17.0,21.73,-5.0639613388769265,0.0003,74,5.0639613388769265,58,5.2445322649564945,548,10,0,0.4307713,0,0,,
